name,description,region,province,city,lat,lon,type,source,url,topic
Pagina principale,"BenvenutisuWikipediaL'enciclopedialiberaecollaborativa Sfoglia l'indiceConsulta il sommarioNaviga tra i portali tematici 1 904 241vociinitaliano Versione per dispositivi mobiliVersione desktop Wikipediaè un'enciclopediaonline,liberae collaborativa. Grazie al contributo di volontari da tutto il mondo, Wikipedia è disponibilein oltre 320 lingue.Chiunquepuò contribuire allevociesistenti ocrearne di nuove, affrontando sia gli argomenti tipici delle enciclopedie tradizionali sia quelli presenti inalmanacchi, dizionari geografici e pubblicazioni specialistiche.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Pagina_principale,generale
Pagina principale,"BenvenutisuWikipediaL'enciclopedialiberaecollaborativa Sfoglia l'indiceConsulta il sommarioNaviga tra i portali tematici 1 904 241vociinitaliano Versione per dispositivi mobiliVersione desktop Wikipediaè un'enciclopediaonline,liberae collaborativa. Grazie al contributo di volontari da tutto il mondo, Wikipedia è disponibilein oltre 320 lingue.Chiunquepuò contribuire allevociesistenti ocrearne di nuove, affrontando sia gli argomenti tipici delle enciclopedie tradizionali sia quelli presenti inalmanacchi, dizionari geografici e pubblicazioni specialistiche.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Pagina_principale,generale
Cattedrale di Acireale,"Lacattedrale di Maria Santissima Annunziataè il principale luogo di culto cittadino ubicato nell'articolata piazza del Duomo, su cui prospetta anche labasilica minore pontificia dei Santi Pietro e Paolo, nel centro storico diAcireale. NelXV secoloil primo edificio era costituito di una sola cappellaa tre mura, contigua all'edificio attuale (lato nord, slargo Giovanni XXIII), dove si venerava un'immagine dell'Annunziata.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_Acireale,generale
Cattedrale di San Giuliano (Caltagirone),"Labasilica cattedrale di San Giuliano(inlingua sicilianaa Cattitrali) è il principaleluogo di cultocattolicodiCaltagironee chiesa madre dell'omonima diocesi. Nel 1948papa Pio XIIl'ha elevata al rango dibasilica minore.[2]L'alto riconoscimento fu festeggiato il 27 gennaio 1949, festa liturgica di San Giuliano con solenne pontificale del vescovo Pietro Capizzi.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_San_Giuliano_(Caltagirone),generale
Cattedrale di Caltanissetta,"Lachiesa di Santa Maria la Novaè lacattedraledelladiocesi di Caltanissetta. La primachiesa madredi cui si ha notizia storica è la chiesa di Santa Maria, poi detta degli Angeli (dalla presenza di un quadro della Madonna attorniata da angeli) ola Vetere.[1]per distinguerla dalla nuova chiesa madre, costruita intorno all'anno1000come Cappella palatina delCastello di Pietrarossae divenuta sede parrocchiale con un decreto diFederico IInel1239. Prima di essa la cura delle anime era affidata all'abbazia di Santo Spirito(sin dal1095).",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_Caltanissetta,generale
Cattedrali normanne in Sicilia,"Questa voce elenca lecattedrali normannepresenti inSiciliaedificate durante il regno degliAltavilla. L'edificazione, costruzione, ricostruzione, potenziamento avvenne tra la caduta deldominio araboe l'avvento degliAngioini. Al novero delle cattedrali siciliane edificate in epoca normanna appartengono le:",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrali_normanne_in_Sicilia,arte
Duomo di Cefalù,"Ilduomo di Cefalù, nome con cui è nota labasilica cattedrale della Trasfigurazione, è unabasilica minore[1]che si trova aCefalù, nellacittà metropolitana di Palermo, ecattedraledell'omonima diocesi. Secondo la leggenda, sarebbe sorto in seguito al voto alSantissimo SalvatoredaRuggero II, scampato ad una tempesta e approdato sulle spiagge della cittadina.[2]La vera motivazione sembra piuttosto la volontà di costruire una chiesa dinastica su modello carolingio normanno con torri gemelle e avancorpo (westwerk).",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Duomo_di_Cefal%C3%B9,generale
Cattedrale di San Gerlando,"Ilduomo d’Agrigento, ufficialmentecattedrale metropolitana di San Gerlando, è il principaleluogo di cultocattolicodiAgrigento, inSicilia,chiesa madredell'omonima arcidiocesi metropolitana. Dal1940èmonumento nazionale[1]. Nel dicembre del1951papa Pio XIIla elevò alla dignità dibasilica minore.[2] Inepoca normannanell'ambito del processo di rilatinizzazione in seguito allaconquista operatadalGran Conte Ruggeroè rifondata ladiocesi dei ""due mari"". Con la fondazione e la nomina alla cattedra vescovile diGerlando di Besançon, cugino del conte nel1088, nasce l'esigenza di un luogo di culto capace e all'altezza dello splendore del nascente regno.[3]",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_San_Gerlando,generale
Duomo di Santa Maria la Cava e Sant'Alfio,"LaChiesa Madre (Ex Cattedrale) Santa Maria la Cava e Sant'Alfioè il principale luogo di culto nella città diLentini, ubicato in piazza Umberto I. Al tempio spetta e compete il titolo dicattedrale, in quanto in epoca bizantina la città era sede dellaDioecesis Leontinae dal 1968sede vescovile titolare.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Duomo_di_Santa_Maria_la_Cava_e_Sant%27Alfio,generale
Cattedrale del Santissimo Salvatore (Mazara del Vallo),"LaBasilica minore del Santissimo Salvatoreè il principaleluogo di cultocattolicodiMazara del Vallo, inprovincia di Trapani,chiesa madredelladiocesi omonima. La cattedrale del Santissimo Salvatore fu edificata per volere diRuggero I, a seguito di unvotofatto durante la battaglia del1072contro iSaraceni.[3]Etienne de Rouenne diresse i lavori tra il1086e il1093, costruendola sulle rovine di un'antica basilica distrutta dai Saraceni nell'828.[4]",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_del_Santissimo_Salvatore_(Mazara_del_Vallo),generale
